Description,Start Time,End Time,Timestep,Iterations,Courant Number,Gravitational Constant,Speed of Light,mass_1,qx_1,qy_1,qz_1,px_1,py_1,pz_1,mass_2,qx_2,qy_2,qz_2,px_2,py_2,pz_2
CMScatter_b_38,0,6.3173058619337148964405059814453125e7,6317.305861933715277700684964656829833984,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.72752465122465305030345916748046875e7,-244.3088791095755141213885508477687835693,0,0.3535533905932737622004221810524245196424,0,0,0,3.15865293096685744822025299072265625e7,244.3088791095755141213885508477687835693,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_39,0,7.017456382241438329219818115234375e7,7017.456382241438404889777302742004394531,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.918987168606884777545928955078125e7,-271.3857679863801877218065783381462097168,0,0.3535533905932737622004221810524245196424,0,0,0,3.5087281911207191646099090576171875e7,271.3857679863801877218065783381462097168,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_40,0,7.795204973910729587078094482421875e7,7795.204973910729677299968898296356201172,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.131669583219732344150543212890625e7,-301.4636035087548293631698470562696456909,0,0.3535533905932737622004221810524245196424,0,0,0,3.8976024869553647935390472412109375e7,301.4636035087548293631698470562696456909,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_41,0,8.65915187432537376880645751953125e7,8659.151874325374592444859445095062255859,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.36792370806886218488216400146484375e7,-334.8749822615774860423698555678129196167,0,0.3535533905932737622004221810524245196424,0,0,0,4.329575937162686884403228759765625e7,334.8749822615774860423698555678129196167,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_42,0,9.618850489959086477756500244140625e7,9618.850489959086189628578722476959228516,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.6303620089026816189289093017578125e7,-371.9893626941112074746342841535806655884,0,0.3535533905932737622004221810524245196424,0,0,0,4.8094252449795432388782501220703125e7,371.9893626941112074746342841535806655884,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_43,0,1.06849130366355240345001220703125e8,10684.91303663552389480173587799072265625,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.92188649250068701803684234619140625e7,-413.2171505409224323557282332330942153931,0,0.3535533905932737622004221810524245196424,0,0,0,5.34245651831776201725006103515625e7,413.2171505409224323557282332330942153931,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_44,0,1.18691278879571616649627685546875e8,11869.12788795716187451034784317016601562,0,0.01,1,1,0.541196100146196984399723205366389420061,-3.245720796666903793811798095703125e7,-459.0142370322741953714285045862197875977,0,0.3535533905932737622004221810524245196424,0,0,0,5.93456394397858083248138427734375e7,459.0142370322741953714285045862197875977,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_45,0,1.318458992952568829059600830078125e8,13184.58992952568951295688748359680175781,0,0.01,1,1,0.541196100146196984399723205366389420061,-3.6054458367751143872737884521484375e7,-509.8870400768979038730321917682886123657,0,0.3535533905932737622004221810524245196424,0,0,0,6.592294964762844145298004150390625e7,509.8870400768979038730321917682886123657,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_46,0,1.4645845360393130779266357421875e8,14645.84536039313206856604665517807006836,0,0.01,1,1,0.541196100146196984399723205366389420061,-4.0050394030405141413211822509765625e7,-566.3981041618540075432974845170974731445,0,0.3535533905932737622004221810524245196424,0,0,0,7.3229226801965653896331787109375e7,566.3981041618540075432974845170974731445,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_47,0,1.62690525429383337497711181640625e8,16269.05254293833422707393765449523925781,0,0.01,1,1,0.541196100146196984399723205366389420061,-4.4489201463790066540241241455078125e7,-629.1723208924087202831287868320941925049,0,0.3535533905932737622004221810524245196424,0,0,0,8.13452627146916687488555908203125e7,629.1723208924087202831287868320941925049,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_48,0,1.807216067982459962368011474609375e8,18072.16067982459935592487454414367675781,0,0.01,1,1,0.541196100146196984399723205366389420061,-4.9419964392437167465686798095703125e7,-698.9038389578008718672208487987518310547,0,0.3535533905932737622004221810524245196424,0,0,0,9.036080339912299811840057373046875e7,698.9038389578008718672208487987518310547,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_49,0,2.007510829382390081882476806640625e8,20075.10829382390147657133638858795166016,0,0.01,1,1,0.541196100146196984399723205366389420061,-5.4897206517351873219013214111328125e7,-776.3637399323569070475059561431407928467,0,0.3535533905932737622004221810524245196424,0,0,0,1.0037554146911950409412384033203125e8,776.3637399323569070475059561431407928467,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_50,0,2.230004370527037680149078369140625e8,22300.04370527037826832383871078491210938,0,0.01,1,1,0.541196100146196984399723205366389420061,-6.0981494431630454957485198974609375e7,-862.4085647899116793269058689475059509277,0,0.3535533905932737622004221810524245196424,0,0,0,1.1150021852635188400745391845703125e8,862.4085647899116793269058689475059509277,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_51,0,2.477156994515244960784912109375e8,24771.56994515245241927914321422576904297,0,0.01,1,1,0.541196100146196984399723205366389420061,-6.7740107357549369335174560546875e7,-957.989785416558106589945964515209197998,0,0.3535533905932737622004221810524245196424,0,0,0,1.2385784972576224803924560546875e8,957.989785416558106589945964515209197998,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_52,0,2.751701681205921173095703125e8,27517.016812059213407337665557861328125,0,0.01,1,1,0.541196100146196984399723205366389420061,-7.524778111098887026309967041015625e7,-1064.164325856424738958594389259815216064,0,0.3535533905932737622004221810524245196424,0,0,0,1.3758508406029605865478515625e8,1064.164325856424738958594389259815216064,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_53,0,3.05667430813493251800537109375e8,30566.74308134932653047144412994384765625,0,0.01,1,1,0.541196100146196984399723205366389420061,-8.358753451984691619873046875e7,-1182.106249632967774232383817434310913086,0,0.3535533905932737622004221810524245196424,0,0,0,1.528337154067466259002685546875e8,1182.106249632967774232383817434310913086,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_54,0,3.39544722083301067352294921875e8,33954.47220833010942442342638969421386719,0,0.01,1,1,0.541196100146196984399723205366389420061,-9.285158743486545979976654052734375e7,-1313.11974238257994329615030437707901001,0,0.3535533905932737622004221810524245196424,0,0,0,1.697723610416505336761474609375e8,1313.11974238257994329615030437707901001,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_55,0,3.77176652376066029071807861328125e8,37717.66523760660493280738592147827148438,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.0314238048410682380199432373046875e8,-1458.653533360699157128692604601383209229,0,0.3535533905932737622004221810524245196424,0,0,0,1.885883261880330145359039306640625e8,1458.653533360699157128692604601383209229,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_56,0,4.1897935042181074619293212890625e8,41897.93504218107409542426466941833496094,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.1457370784738565981388092041015625e8,-1620.316915291455188707914203405380249023,0,0.3535533905932737622004221810524245196424,0,0,0,2.09489675210905373096466064453125e8,1620.316915291455188707914203405380249023,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_57,0,4.65415064729021370410919189453125e8,46541.50647290213964879512786865234375,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.27271975576720654964447021484375e8,-1799.897539706156521788216196000576019287,0,0.3535533905932737622004221810524245196424,0,0,0,2.327075323645106852054595947265625e8,1799.897539706156521788216196000576019287,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_58,0,5.16997275065332591533660888671875e8,51699.72750653326511383056640625,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.413775993771418631076812744140625e8,-1999.381184549040881393011659383773803711,0,0.3535533905932737622004221810524245196424,0,0,0,2.584986375326662957668304443359375e8,1999.381184549040881393011659383773803711,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_59,0,5.7429637044645583629608154296875e8,57429.63704464558395557105541229248046875,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.570465573043212592601776123046875e8,-2220.973712637745848041959106922149658203,0,0.3535533905932737622004221810524245196424,0,0,0,2.87148185223227918148040771484375e8,2220.973712637745848041959106922149658203,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_60,0,6.3794595641977822780609130859375e8,63794.59564197782310657203197479248046875,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.744521145485449731349945068359375e8,-2467.125463792170194210484623908996582031,0,0.3535533905932737622004221810524245196424,0,0,0,3.18972978209889113903045654296875e8,2467.125463792170194210484623908996582031,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_61,0,7.0864986138770902156829833984375e8,70864.98613877090974710881710052490234375,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.937867393774523437023162841796875e8,-2740.558350356533992453478276729583740234,0,0.3535533905932737622004221810524245196424,0,0,0,3.54324930693854510784149169921875e8,2740.558350356533992453478276729583740234,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_62,0,7.871899194457380771636962890625e8,78718.99194457380508538335561752319335938,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.15264231423773705959320068359375e8,-3044.295955733213304483797401189804077148,0,0.3535533905932737622004221810524245196424,0,0,0,3.9359495972286903858184814453125e8,3044.295955733213304483797401189804077148,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_63,0,8.7443461579675853252410888671875e8,87443.46157967585895676165819168090820312,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.391220858523802459239959716796875e8,-3381.696968753797136741923168301582336426,0,0.3535533905932737622004221810524245196424,0,0,0,4.37217307898379266262054443359375e8,3381.696968753797136741923168301582336426,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_64,0,9.7134869034146964550018310546875e8,97134.86903414696280378848314285278320312,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.65624119549283564090728759765625e8,-3756.492323600091822299873456358909606934,0,0.3535533905932737622004221810524245196424,0,0,0,4.85674345170734822750091552734375e8,3756.492323600091822299873456358909606934,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_65,0,1.079003805640042781829833984375e9,107900.3805640042846789583563804626464844,0,0.01,1,1,0.541196100146196984399723205366389420061,-2.95063388372621834278106689453125e8,-4172.826455963216176314745098352432250977,0,0.3535533905932737622004221810524245196424,0,0,0,5.395019028200213909149169921875e8,4172.826455963216176314745098352432250977,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_66,0,1.1985903972098934650421142578125e9,119859.0397209893562830984592437744140625,0,0.01,1,1,0.541196100146196984399723205366389420061,-3.27765427724190413951873779296875e8,-4635.303131645685425610281527042388916016,0,0.3535533905932737622004221810524245196424,0,0,0,5.9929519860494673252105712890625e8,4635.303131645685425610281527042388916016,0,-0.3535533905932737622004221810524245196424,0,0
