"Description","Start Time","End Time","Timestep","Iterations","Courant Number","Gravitational Constant","Number of Particles","mass_1","qx_1","qy_1","qz_1","px_1","py_1","pz_1","mass_2","qx_2","qy_2","qz_2","px_2","py_2","pz_2"
"CMScatter_b_29",0,1.89731259401615560054779052734375e7,1897.312594016155799181433394551277160645,0,0.001,1,2,0,-9.48656297008077800273895263671875e6,-94.86562970080777290604601148515939712524,0,0.5,0,0,0,9.48656297008077800273895263671875e6,94.86562970080777290604601148515939712524,0,-0.5,0,0
"CMScatter_b_30",0,2.1075928034787677228450775146484375e7,2107.592803478768018976552411913871765137,0,0.001,1,2,0,-1.05379640173938386142253875732421875e7,-105.3796401739383838958019623532891273499,0,0.5,0,0,0,1.05379640173938386142253875732421875e7,105.3796401739383838958019623532891273499,0,-0.5,0,0
"CMScatter_b_31",0,2.3411784854455389082431793212890625e7,2341.178485445539081410970538854598999023,0,0.001,1,2,0,-1.17058924272276945412158966064453125e7,-117.0589242722769540705485269427299499512,0,0.5,0,0,0,1.17058924272276945412158966064453125e7,117.0589242722769540705485269427299499512,0,-0.5,0,0
"CMScatter_b_32",0,2.60065259838902652263641357421875e7,2600.65259838902647970826365053653717041,0,0.001,1,2,0,-1.300326299194513261318206787109375e7,-130.0326299194513239854131825268268585205,0,0.5,0,0,0,1.300326299194513261318206787109375e7,130.0326299194513239854131825268268585205,0,-0.5,0,0
"CMScatter_b_33",0,2.88888437150510288774967193603515625e7,2888.884371505102990340674296021461486816,0,0.001,1,2,0,-1.444442185752551443874835968017578125e7,-144.4442185752551495170337148010730743408,0,0.5,0,0,0,1.444442185752551443874835968017578125e7,144.4442185752551495170337148010730743408,0,-0.5,0,0
"CMScatter_b_34",0,3.209061032256339490413665771484375e7,3209.061032256339785817544907331466674805,0,0.001,1,2,0,-1.6045305161281697452068328857421875e7,-160.4530516128169779221934732049703598022,0,0.5,0,0,0,1.6045305161281697452068328857421875e7,160.4530516128169779221934732049703598022,0,-0.5,0,0
"CMScatter_b_35",0,3.5647230502966962754726409912109375e7,3564.723050296696328587131574749946594238,0,0.001,1,2,0,-1.78236152514834813773632049560546875e7,-178.2361525148348277980403508991003036499,0,0.5,0,0,0,1.78236152514834813773632049560546875e7,178.2361525148348277980403508991003036499,0,-0.5,0,0
"CMScatter_b_36",0,3.9598032874999321997165679931640625e7,3959.803287499932594073470681905746459961,0,0.001,1,2,0,-1.97990164374996609985828399658203125e7,-197.9901643749966240193316480144858360291,0,0.5,0,0,0,1.97990164374996609985828399658203125e7,197.9901643749966240193316480144858360291,0,-0.5,0,0
"CMScatter_b_37",0,4.3986704870074570178985595703125e7,4398.670487007457268191501498222351074219,0,0.001,1,2,0,-2.19933524350372850894927978515625e7,-219.933524350372834987865644507110118866,0,0.5,0,0,0,2.19933524350372850894927978515625e7,219.933524350372834987865644507110118866,0,-0.5,0,0
"CMScatter_b_38",0,4.886177582191510498523712158203125e7,4886.177582191510737175121903419494628906,0,0.001,1,2,0,-2.4430887910957552492618560791015625e7,-244.3088791095755141213885508477687835693,0,0.5,0,0,0,2.4430887910957552492618560791015625e7,244.3088791095755141213885508477687835693,0,-0.5,0,0
"CMScatter_b_39",0,5.4277153597276039421558380126953125e7,5427.715359727603754436131566762924194336,0,0.001,1,2,0,-2.71385767986380197107791900634765625e7,-271.3857679863801877218065783381462097168,0,0.5,0,0,0,2.71385767986380197107791900634765625e7,271.3857679863801877218065783381462097168,0,-0.5,0,0
"CMScatter_b_40",0,6.02927207017509639263153076171875e7,6029.272070175096814637072384357452392578,0,0.001,1,2,0,-3.014636035087548196315765380859375e7,-301.4636035087548293631698470562696456909,0,0.5,0,0,0,3.014636035087548196315765380859375e7,301.4636035087548293631698470562696456909,0,-0.5,0,0
"CMScatter_b_41",0,6.697499645231549441814422607421875e7,6697.499645231549948221072554588317871094,0,0.001,1,2,0,-3.3487498226157747209072113037109375e7,-334.8749822615774860423698555678129196167,0,0.5,0,0,0,3.3487498226157747209072113037109375e7,334.8749822615774860423698555678129196167,0,-0.5,0,0
"CMScatter_b_42",0,7.439787253882224857807159423828125e7,7439.787253882224831613712012767791748047,0,0.001,1,2,0,-3.7198936269411124289035797119140625e7,-371.9893626941112074746342841535806655884,0,0.5,0,0,0,3.7198936269411124289035797119140625e7,371.9893626941112074746342841535806655884,0,-0.5,0,0
